Designator,Mid X,Mid Y,Rotation,Layer
3V3,142.65,-110.175,0.0,bottom
5V1,142.646339,-115.748004,0.0,bottom
C1,133.655,-115.558752,270.0,top
C2,139.084405,-115.570182,270.0,top
C3,140.121694,-98.775,0.0,top
C4,140.121694,-103.8,180.0,top
C5,145.414168,-97.34002,0.0,top
C7,151.728183,-127.48,180.0,bottom
D1,135.591637,-120.604246,0.0,top
DONE1,142.28,-124.98,180.0,top
F1,132.341637,-120.554246,270.0,top
GND1,142.65,-112.969286,0.0,bottom
J1,135.82799,-101.48,270.0,top
J2,149.78,-101.48,270.0,top
J3,149.85,-122.99,180.0,top
J4,134.405,-125.275,270.0,top
J5,135.82799,-101.48,270.0,bottom
J6,149.78,-101.48,270.0,bottom
L1,140.121694,-100.267306,0.0,top
L2,140.121694,-101.817306,0.0,top
L3,145.414168,-95.59002,180.0,top
L5,152.63,-120.15,0.0,bottom
PWR1,142.3,-127.1,180.0,top
R39,139.982722,-127.1,180.0,top
R40,153.142164,-99.67615,0.0,top
R41,139.912081,-123.23,180.0,top
R42,139.912081,-124.98,180.0,top
R43,138.353667,-123.23,180.0,top
R44,138.353667,-124.98,180.0,top
R45,153.715,-127.48,0.0,bottom
READY1,142.28,-123.23,180.0,top
SW1,152.61,-123.85,90.0,bottom
TCK1,142.0,-124.26,0.0,bottom
TDI1,142.0,-126.8,0.0,bottom
TDO1,144.175,-124.26,0.0,bottom
TMS1,144.175,-126.8,0.0,bottom
