Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22pf,
"C10, C12",0805,2,2.2nF,
"C11, C13",0805,2,4.7nF,
"C14, C15, C2",CP_Elec_4x3,3,10uF,
"C16, C17, C3, C4, C6, C8, C9",0805,7,100nF,
"C5, C7",0805,2,0.1uf,
"D1, D5, D7",0603,3,LED_PWR,
D15,0603,1,PWR,
D16,0603,1,OK,
D17,0603,1,FAIL,
D18,0603,1,WARN,
D19,0603,1,FPGA_PWR,
D62,0603,1,TXD,
D63,0603,1,RXD,
J1,PinHeader_1x03_P2.54mm_Vertical,1,ACM_CTRL,
J11,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,DAC_L_PRB,
J12,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J13,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J14,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,1,POT_FFC,
J15,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,FPGA FFC,
J16,USB_A_Molex_67643_Horizontal,1,USB_A_FEMALE,
J17,PinHeader_1x03_P2.54mm_Vertical,1,MIDI_DGB,
J18,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,1,CTRL_FFC,
J19,Jack_3.5mm_Ledino_KB3SPRS_Horizontal,1,AudioPlug3,
J2,PinHeader_1x03_P2.54mm_Vertical,1,CAN,
J20,PinHeader_1x02_P2.54mm_Vertical,1,FPGA_UART,
J23,PinHeader_1x03_P2.54mm_Vertical,1,VOL_L_CTRL,
J24,PinHeader_1x03_P2.54mm_Vertical,1,VOL_R_CTRL,
J30,PinHeader_1x03_P2.54mm_Vertical,1,UART_DEBUG,
J4,PinHeader_1x04_P2.54mm_Vertical,1,LCD_display,
J7,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,DAC_R_PRB,
"R14, R17, R18, R26, R28, R4, R53, R6, R7, R8, R9",0201,11,10k,
"R15, R30, R39, R40, R41, R42, R5, R91, R92",0201,9,300,
"R16, R3",R_Shunt_Ohmite_LVK12,2,0.1,
R38,0201,1,1.2k,
"R43, R44, R45, R46",0201,4,2.4k,
"R47, R48",0201,2,47,
"TH2, TH4, TH5",Heraeus_TO-92-2,3,10k,
TP1,TestPoint_Pad_D1.0mm,1,DAC_R,
TP2,TestPoint_Pad_D1.0mm,1,DAC_L,
TP3,TestPoint_Pad_1.5x1.5mm,1,THRM_A,
TP5,TestPoint_Pad_1.5x1.5mm,1,THRM_C,
TP7,TestPoint_Pad_1.5x1.5mm,1,THRM_E,
U1_2,ST_Morpho_and_Zio_Connectors_144_STLink,1,NUCLEO-H753ZI,
"U1, U10",PinSocket_2x36_P2.54mm_Vertical,2,~,
"U13, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,INA219AxD,
U2,DIP-8_W7.62mm_SMDSocket_SmallPads,1,OPA1678,
U3,SOT-223-3_TabPin2,1,LT1963AxST-3.3,
"U4, U6",SOIC-8_5.3x5.3mm_P1.27mm,2,W25Q128JVS,
U5,DFN-S-8-1EP_6x5mm_P1.27mm,1,MR25H40,
U8,SOIC127P794X202-8N,1,24LC1025-I_P,
U9,SOT-23-6,1,USBLC6-2SC6,
