Designator,Mid X,Mid Y,Rotation,Layer
C2,153.87,-29.1,0.0,top
C3,177.81,-34.48,90.0,top
C4,208.57,-34.48,90.0,top
D1,160.62,-29.98,270.0,top
F2,160.25,-26.46,0.0,top
H1,119.13,-26.52,0.0,top
H2,119.13,-105.71,0.0,top
H3,275.43,-26.52,0.0,top
H4,275.43,-105.71,0.0,top
J5,197.6,-27.23,180.0,top
PWR1,164.65,-30.37,90.0,top
R39,164.65,-28.2175,0.0,top
R40,166.555,-110.9,180.0,top
R41,168.555,-110.9,180.0,top
R42,170.51,-110.9,180.0,top
RV10,184.470324,-111.70281,270.0,top
RV11,123.41,-70.727254,90.0,top
RV12,135.51,-70.727254,90.0,top
RV13,147.61,-70.727254,90.0,top
RV14,159.71,-70.727254,90.0,top
RV15,127.370324,-111.70281,270.0,top
RV16,234.5,-70.727254,90.0,top
RV17,246.6,-70.727254,90.0,top
RV18,258.7,-70.727254,90.0,top
RV19,270.8,-70.727254,90.0,top
RV20,238.570324,-111.70281,270.0,top
RV6,179.296784,-70.727254,90.0,top
RV7,191.396784,-70.727254,90.0,top
RV8,203.496784,-70.727254,90.0,top
RV9,215.596784,-70.727254,90.0,top
S1,152.85775,-111.35,0.0,top
S2,209.25775,-111.35,0.0,top
S3,264.05775,-111.35,0.0,top
TP1,170.165,-108.1,270.0,top
TP2,166.9,-108.1,270.0,top
TP3,190.81,-30.85,90.0,top
TP4,187.98,-30.86,90.0,top
U3,212.05,-29.0525,90.0,top
U4,181.31,-29.0525,90.0,top
