Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0805_2012Metric,548.7327,-190.995,180.0,top
C10,0.1uf,C_0805_2012Metric,229.8225,-107.2175,0.0,top
C2,0.1uf,C_0805_2012Metric,548.7327,-184.5078,180.0,top
C3,0.1uf,C_0805_2012Metric,548.7327,-178.0049,180.0,top
C4,0.1uf,C_0805_2012Metric,548.7327,-171.2549,180.0,top
C5,0.1uf,C_0805_2012Metric,548.7327,-164.5049,180.0,top
C6,10uf,C_0805_2012Metric,410.065,-168.48,0.0,top
C7,0.1uf,C_0805_2012Metric,548.7,-157.8,180.0,top
C8,10uf,C_0805_2012Metric,216.0125,-101.7175,180.0,top
C9,10uf,C_0805_2012Metric,216.0125,-89.7175,0.0,top
D1,LED_OK,LED_0603_1608Metric,498.4,-144.0,-90.0,top
D10,LED_PWR,LED_0603_1608Metric,404.01,-171.48,90.0,top
D11,LED_PWR,LED_0603_1608Metric,366.31,-174.98,90.0,top
D12,LED_OK,LED_0603_1608Metric,366.31,-179.3467,90.0,top
D13,LED_FAIL,LED_0603_1608Metric,366.21,-183.7133,90.0,top
D14,LED_WARN,LED_0603_1608Metric,366.21,-188.08,90.0,top
D15,LED_PWR,LED_0603_1608Metric,363.0,-66.5,90.0,top
D16,LED_OK,LED_0603_1608Metric,362.8,-81.0,90.0,top
D17,LED_FAIL,LED_0603_1608Metric,362.8,-75.7,90.0,top
D18,LED_WARN,LED_0603_1608Metric,363.0,-71.0,90.0,top
D19,LED_PWR,LED_0603_1608Metric,211.8,-80.0,180.0,top
D2,LED_FAIL,LED_0603_1608Metric,498.3,-148.2,-90.0,top
D20,LED_PWR,LED_0603_1608Metric,531.756,-188.6,90.0,top
D21,LED_PWR,LED_0603_1608Metric,400.5,-67.8,90.0,top
D22,LED_OK,LED_0603_1608Metric,400.4,-80.7,90.0,top
D23,LED_FAIL,LED_0603_1608Metric,400.5,-76.4,90.0,top
D24,LED_WARN,LED_0603_1608Metric,400.4,-72.1,90.0,top
D25,LED_PWR,LED_0603_1608Metric,221.5675,-101.9725,0.0,top
D26,LED_PWR,LED_0603_1608Metric,221.5675,-90.6175,0.0,top
D27,LED_PWR,LED_0603_1608Metric,235.7675,-100.2175,90.0,top
D28,LED_PWR,LED_0603_1608Metric,265.75,-92.75,90.0,top
