Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V1, GND1, TCK1, TDI1, TDO1, TMS1",TestPoint_Pad_D1.0mm,7,TestPoint,
"C1, C2",CP_Elec_4x3,2,220uF 10V,
"C3, C4, C5, C7",0402,4,100nF,
D1,D_SOD-123,1,20V 3A,
"DONE1, PWR1, READY1",0603,3,GREEN_LED,
F1,0603,1,6V 2A,
"J1, J2, J5, J6",Hirose_DF40C-60DS-0.4V_2x30_P0.4mm,4,DF40C-60DS-0.4V(51),
J3,PinHeader_2x04_P2.54mm_Vertical_SMD,1,Conn_02x04_Odd_Even,
J4,PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x02,
"L1, L2, L3",0603,3,PZ1608D300-3R0TF,
L5,INDC1005X45,1,LXES15AAA1-153,
"R39, R41, R42",0201,3,4.7k,
R40,0201,1,5.1K,
"R43, R44",0201,2,49.9k,
R45,0201,1,100R,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,RST,
