Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C29, C3, C30, C31",0805,6,22pf,
"C4, C6, C8",0805,3,100nF,
"C5, C7",0805,2,0.1uf,
"CLK1, CS1, MISO1, MOSI1",TestPoint_Pad_D1.0mm,4,~,
"D1, D2, D5, D60, D61, D7",0603,6,LED_PWR,
D15,0603,1,PWR,
D16,0603,1,OK,
D17,0603,1,FAIL,
D18,0603,1,WARN,
D19,0603,1,FPGA_PWR,
"D3, D62",0603,2,TXD,
"D4, D63",0603,2,RXD,
J1,PinHeader_1x03_P2.54mm_Vertical,1,ACM_CTRL,
J11,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,DAC_L_PRB,
J12,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J13, J18",PinSocket_2x36_P2.54mm_Vertical,2,Conn_02x36_Odd_Even,
J14,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,1,ADC FFC,
J15,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,FPGA FFC,
J17,PinHeader_1x03_P2.54mm_Vertical,1,MIDI_DGB,
J19,PinHeader_1x06_P2.54mm_Vertical,1,FPGA_QSPI,
J2,PinHeader_1x03_P2.54mm_Vertical,1,CAN,
J20,PinHeader_1x02_P2.54mm_Vertical,1,FPGA_UART,
J21,PinHeader_1x02_P2.54mm_Vertical,1,APM_FPGA_UART,
J23,PinHeader_1x06_P2.54mm_Vertical,1,QSPIFLASH,
J3,PinHeader_1x03_P2.54mm_Vertical,1,7SDD_CTRL,
J30,PinHeader_1x03_P2.54mm_Vertical,1,UART_DEBUG,
J4,PinHeader_1x04_P2.54mm_Vertical,1,LCD_display,
J5,PinHeader_1x02_P2.54mm_Vertical,1,INTRPT,
J7,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,DAC_R_PRB,
"R10, R12, R13, R15, R30, R39, R40, R41, R42, R5, R88, R91, R92",0201,13,300,
"R14, R17, R18, R26, R28, R4, R53, R6, R7, R8, R9",0201,11,10k,
"R16, R3",R_Shunt_Ohmite_LVK12,2,0.1,
"R38, R89",0201,2,1.2k,
"TH2, TH4, TH5",Heraeus_TO-92-2,3,10k,
TP3,TestPoint_Pad_1.5x1.5mm,1,THRM_A,
TP5,TestPoint_Pad_1.5x1.5mm,1,THRM_C,
TP7,TestPoint_Pad_1.5x1.5mm,1,THRM_E,
U1,ST_Morpho_and_Zio_Connectors_144_STLink,1,NUCLEO-H753ZI,
"U13, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,INA219AxD,
"U2, U38",SOIC-16_3.9x9.9mm_P1.27mm,2,CH340G,
U3,SOT-223-3_TabPin2,1,LT1963AxST-3.3,
"U4, U6",SOIC-8_5.3x5.3mm_P1.27mm,2,W25Q128JVS,
U5,DFN-S-8-1EP_6x5mm_P1.27mm,1,MR25H40,
U8,DIP787W46P254L927H533Q8,1,24LC1025-I_P,
"Y1, Y7",Crystal_HC49-4H_Vertical,2,12MHz,
