Designator,Mid X,Mid Y,Rotation,Layer
C1,111.8,-61.25,90.0,bottom
C2,101.517172,-76.585978,270.0,bottom
C29,92.1,-61.2,90.0,bottom
C3,106.397172,-76.585978,270.0,bottom
C30,82.658296,-76.585978,270.0,bottom
C31,87.538296,-76.585978,270.0,bottom
C4,111.75,-100.4525,180.0,bottom
C5,79.95,-85.75,270.0,bottom
C6,107.1625,-100.4525,180.0,bottom
C7,79.9,-97.95,270.0,bottom
C8,78.715,-115.32,180.0,bottom
CLK1,112.5,-127.25,270.0,bottom
CS1,101.85,-127.25,270.0,bottom
D1,98.190925,-55.902377,270.0,bottom
D15,103.275,-81.8,180.0,bottom
D16,103.275,-84.7,180.0,bottom
D17,103.3375,-87.65,180.0,bottom
D18,103.3875,-90.6,180.0,bottom
D19,97.223295,-140.261393,270.0,bottom
D2,110.938213,-67.236814,90.0,bottom
D3,116.25,-67.236814,90.0,bottom
D4,113.538213,-67.236814,90.0,bottom
D5,79.85,-101.7,270.0,bottom
D60,96.290925,-55.902377,270.0,bottom
D61,71.436182,-67.390059,270.0,bottom
D62,76.75636,-67.355675,90.0,bottom
D63,74.173621,-67.358971,90.0,bottom
D7,80.0,-89.8625,270.0,bottom
J1,74.139125,-55.15,90.0,bottom
J11,89.967857,-114.874999,180.0,bottom
J12,93.468928,-107.85,270.0,bottom
J13,127.145,-107.08,0.0,top
J14,86.305261,-149.875,0.0,bottom
J15,105.075,-149.875,0.0,bottom
J17,118.67,-59.675,90.0,bottom
J18,66.255,-107.03,0.0,top
J19,92.567829,-136.720289,90.0,bottom
J2,118.67,-53.8,90.0,bottom
J20,104.412829,-136.715289,90.0,bottom
J21,104.390336,-132.149999,90.0,bottom
J23,92.581052,-131.416117,90.0,bottom
J3,121.3,-137.06,0.0,bottom
J30,74.185,-60.975,90.0,bottom
J4,73.2,-140.78,180.0,bottom
J5,121.3,-145.265,180.0,bottom
J7,96.922857,-114.874999,0.0,bottom
JP3,111.83,-112.106634,90.0,bottom
JP4,108.186541,-112.106634,90.0,bottom
JP5,104.450018,-112.098926,90.0,bottom
MISO1,108.95,-127.25,270.0,bottom
MOSI1,105.4,-127.25,270.0,bottom
R10,110.930254,-64.855046,90.0,bottom
R12,116.242041,-64.855046,270.0,bottom
R13,113.530254,-64.855046,270.0,bottom
R14,103.9925,-104.6475,180.0,bottom
R15,79.85,-104.105,270.0,bottom
R16,85.15,-102.405,90.0,bottom
R17,109.986541,-111.801634,90.0,bottom
R18,106.250018,-111.793926,90.0,bottom
R26,85.647076,-80.947903,270.0,bottom
R28,87.04316,-80.947903,270.0,bottom
R3,85.15,-89.8,90.0,bottom
R30,80.0,-92.4,270.0,bottom
R38,107.095,-81.79,180.0,bottom
R39,107.095,-84.74,180.0,bottom
R4,87.625,-93.375,270.0,bottom
R40,107.095,-87.69,180.0,bottom
R41,107.095,-90.64,180.0,bottom
R42,98.855,-141.05,180.0,bottom
R5,98.190925,-58.241399,270.0,bottom
R53,93.64,-87.9825,270.0,bottom
R6,105.15,-95.7175,180.0,bottom
R7,94.725,-71.1,270.0,bottom
R8,113.68,-111.826634,90.0,bottom
R88,96.290925,-58.241399,270.0,bottom
R89,71.436182,-69.803581,270.0,bottom
R9,97.3,-119.968,180.0,bottom
R91,76.75636,-64.942153,270.0,bottom
R92,74.173621,-64.945449,270.0,bottom
TH2,94.555,-68.683151,0.0,bottom
TH4,94.87,-84.5775,0.0,bottom
TH5,93.68,-119.902,0.0,bottom
TP3,99.45,-119.95,0.0,bottom
TP5,94.725,-73.55,90.0,bottom
TP7,95.94,-88.3275,0.0,bottom
U1,96.7,-97.408,0.0,top
U13,85.15,-85.055,270.0,bottom
U2,104.070207,-64.060978,180.0,bottom
U3,94.55,-97.105,0.0,bottom
U38,85.210207,-64.060978,180.0,bottom
U4,109.7,-105.2625,270.0,bottom
U5,109.8,-96.3125,270.0,bottom
U6,81.65,-119.5,270.0,bottom
U7,85.15,-97.205,270.0,bottom
U8,109.3,-119.5125,0.0,bottom
Y1,103.957172,-71.621036,180.0,bottom
Y7,85.098296,-71.485978,180.0,bottom
