Designator,Mid X,Mid Y,Rotation,Layer
C2,265.143492,-29.105693,0.0,top
C3,179.995,-33.6,180.0,top
C4,244.355,-35.8,180.0,top
D1,267.795992,-35.905693,180.0,top
F2,267.743492,-32.605693,270.0,top
J1,161.175,-30.1,90.0,top
J2,226.775,-30.1,90.0,top
J4,273.243492,-30.005693,90.0,top
PWR1,275.5,-35.9,180.0,top
R39,272.255,-35.9,180.0,top
R40,166.555,-110.9,180.0,top
R41,168.555,-110.9,180.0,top
R42,170.51,-110.9,180.0,top
RV10,184.470324,-111.70281,270.0,top
RV11,123.41,-70.727254,90.0,top
RV12,135.51,-70.727254,90.0,top
RV13,147.61,-70.727254,90.0,top
RV14,159.71,-70.727254,90.0,top
RV15,127.370324,-111.70281,270.0,top
RV16,234.5,-70.727254,90.0,top
RV17,246.6,-70.727254,90.0,top
RV18,258.7,-70.727254,90.0,top
RV19,270.8,-70.727254,90.0,top
RV20,238.570324,-111.70281,270.0,top
RV6,179.296784,-70.727254,90.0,top
RV7,191.396784,-70.727254,90.0,top
RV8,203.496784,-70.727254,90.0,top
RV9,215.596784,-70.727254,90.0,top
S1,152.85775,-111.35,0.0,top
S2,209.25775,-111.35,0.0,top
S3,264.05775,-111.35,0.0,top
TP1,170.165,-108.1,270.0,top
TP2,166.9,-108.1,270.0,top
U3,174.0,-30.1,180.0,top
U4,240.3,-30.1,180.0,top
