Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7",0805,7,0.1uf,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25",0805,15,22pf,
"C6, C8, C9",0805,3,10uf,
"D1, D12, D16, D22, D29",0603,5,LED_OK,
"D10, D11, D15, D19, D20, D21, D25, D26, D27, D28, D32, D33, D34, D37, D38, D39, D4, D40, D42, D43, D46, D47, D5, D51, D52, D53, D6, D7, D8, D9",0603,30,LED_PWR,
"D13, D17, D2, D23, D30",0603,5,LED_FAIL,
"D14, D18, D24, D3, D31",0603,5,LED_WARN,
"D35, D41, D44, D48, D55",0603,5,TXD,
"D36, D45, D49, D50, D54",0603,5,RXD,
"J1, J2, J8, J9",PinSocket_1x24_P2.54mm_Vertical,4,FPGA I/O,
"J10, J11, J15, J5, J6, J7",PinHeader_1x02_P1.00mm_Horizontal,6,INA219_CONFIG,
"J12, J16, J21, J22, J23, J24, J25",USB_A_CNCTech_1001-011-01101_Horizontal,7,USB_A,
J13,PinHeader_1x03_P1.00mm_Horizontal,1,UUM_DBG,
J14,PinHeader_1x03_P1.00mm_Horizontal,1,ACM_DBG,
"J17, J18, J3",PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,3,LCD_display,
J19,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
J20,PinHeader_1x03_P1.00mm_Horizontal,1,DSM_DBG,
J26,PinHeader_1x03_P1.00mm_Horizontal,1,APM_DBG,
J4,PinHeader_1x03_P1.00mm_Horizontal,1,TDM_DBG,
"R1, R10, R15, R16, R17, R18, R2, R27, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R43, R45, R46, R48, R49, R5, R50, R51, R52, R53, R54, R56, R57, R58, R6, R60, R61, R62, R63, R64, R65, R67, R68, R69, R7, R70, R72, R77, R78, R79, R8, R80, R82, R9",0805,55,300,
"R11, R12",0805,2,4.7k,
"R13, R14, R19, R20, R21, R22, R23, R24, R25, R26, R28, R3, R4, R73, R74, R75, R76",0805,17,10k,
R42,0805,1,100,
"R44, R47",0805,2,120,
"R55, R59, R66, R71, R81",0805,5,1k5,
TH1,R_LDR_4.9x4.2mm_P2.54mm_Vertical,1,10k,
"U1, U17",MODULE_NUCLEO-H753ZI,2,NUCLEO-H753ZI,
"U10, U11, U12, U13, U20, U7",SOIC-8_3.9x4.9mm_P1.27mm,6,INA219AxD,
"U14, U23, U26",SOIC-8_5.3x5.3mm_P1.27mm,3,W25Q128JVS,
"U15, U22, U25",SOT-23-5,3,AP2112K-3.3,
"U16, U21, U24",SO16,3,74HC4050D,
"U18, U2, U36",7SegmentLED_LTS6760_LTS6780,3,SM420561N,
"U19, U32, U33, U34, U35",SOIC-16_3.9x9.9mm_P1.27mm,5,CH340G,
"U27, U29, U30, U31",DIP-8_W7.62mm,4,MCP2551-I-P,
U28,SC70-6,1,74LVC1G3157,
U3,ST_NUCLEO-F303RE,1,NUCLEO-F303RE,
U4,YAAJ_WeAct_BlackPill_SWD_2,1,YAAJ_BluePill_Part_Like,
"U5, U8",SOIC127P600X175-8N,2,24LC256-I_SN,24LC256-I/SN
U6,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U9,MODULE_NUCLEO-F446RE,1,NUCLEO-F446RE,
"Y1, Y2",Crystal_HC49-4H_Vertical,2,12MHz,
"Y3, Y4, Y6",Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,3,12MHz,
