Designator,Mid X,Mid Y,Rotation,Layer
C1,548.9027,-190.995,180.0,top
C10,327.0825,-301.3475,0.0,top
C11,462.28,-248.4,0.0,top
C12,462.28,-251.41,0.0,top
C13,462.28,-254.42,0.0,top
C14,445.7875,-77.36,0.0,top
C15,445.7875,-80.37,0.0,top
C16,445.7875,-83.38,0.0,top
C17,472.0825,-300.82,0.0,top
C18,472.0825,-303.83,0.0,top
C19,472.0825,-306.84,0.0,top
C2,548.9027,-184.5078,180.0,top
C20,458.5925,-316.81,0.0,top
C21,458.5925,-319.82,0.0,top
C22,458.5925,-322.83,0.0,top
C23,310.75,-79.85,0.0,top
C24,305.95,-79.85,0.0,top
C25,290.5,-54.25,0.0,top
C3,548.9027,-178.0049,180.0,top
C4,548.9027,-171.2549,180.0,top
C5,548.9027,-164.5049,180.0,top
C6,410.065,-168.48,0.0,top
C7,548.87,-157.8,180.0,top
C8,313.2725,-295.8475,180.0,top
C9,313.2725,-283.8475,0.0,top
D1,498.4,-144.0,270.0,top
D10,404.01,-171.48,90.0,top
D11,366.31,-174.98,90.0,top
D12,366.31,-179.3467,90.0,top
D13,366.21,-183.7133,90.0,top
D14,366.21,-188.08,90.0,top
D15,364.7,-75.7,90.0,top
D16,364.5,-90.2,90.0,top
D17,364.5,-84.9,90.0,top
D18,364.7,-80.2,90.0,top
D19,203.7875,-196.5,180.0,top
D2,498.3,-148.2,270.0,top
D20,531.926,-188.6,90.0,top
D21,395.5,-77.2,90.0,top
D22,395.4,-90.1,90.0,top
D23,395.5,-85.8,90.0,top
D24,395.4,-81.5,90.0,top
D25,318.8275,-296.1025,0.0,top
D26,318.8275,-284.7475,0.0,top
D27,333.0275,-294.3475,90.0,top
D28,201.14375,-113.6125,90.0,top
D29,201.14375,-126.3625,90.0,top
D3,498.3,-152.4451,270.0,top
D30,201.14375,-122.1125,90.0,top
D31,201.14375,-117.6125,90.0,top
D32,466.85,-215.92,0.0,top
D33,466.85,-218.51,0.0,top
D34,466.85,-221.1,0.0,top
D35,466.85,-223.69,0.0,top
D36,466.85,-226.28,0.0,top
D37,466.85,-228.87,0.0,top
D38,290.5,-57.5,0.0,top
D39,441.5575,-79.74,0.0,top
D4,498.3,-156.7,270.0,top
D40,441.5575,-82.33,0.0,top
D41,441.5575,-84.92,0.0,top
D42,485.1025,-300.05,0.0,top
D43,485.1025,-302.64,0.0,top
D44,485.1025,-305.23,0.0,top
D45,485.1025,-307.82,0.0,top
D46,454.3625,-316.6,0.0,top
D47,454.3625,-319.19,0.0,top
D48,454.3625,-321.78,0.0,top
D49,454.3625,-324.37,0.0,top
D5,531.926,-155.555,90.0,top
D50,446.05,-106.02,0.0,top
D51,491.7125,-312.41,0.0,top
D52,491.7125,-315.0,0.0,top
D53,305.75,-61.0,0.0,top
D54,305.75,-67.7,0.0,top
D55,305.75,-64.25,0.0,top
D6,531.926,-162.164,90.0,top
D7,531.926,-181.991,90.0,top
D8,531.926,-175.382,90.0,top
D9,531.926,-168.773,90.0,top
J1,368.7,-132.19,0.0,top
J10,556.995,-175.43,0.0,top
J11,556.995,-181.805,0.0,top
J12,329.0,-5.0,90.0,top
J13,332.95,-25.069873,90.0,top
J14,345.5,-25.069873,90.0,top
