Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0805_2012Metric,549.4627,-143.915,180.0,top
C10,0.1uf,C_0805_2012Metric,243.305,-96.0,0.0,top
C2,0.1uf,C_0805_2012Metric,549.4627,-137.4278,180.0,top
C23,22pf,C_0805_2012Metric,376.1,-151.8,180.0,top
C24,22pf,C_0805_2012Metric,380.9,-151.8,180.0,top
C25,22pf,C_0805_2012Metric,396.35,-177.4,180.0,top
C26,22pf,C_0805_2012Metric,501.5,-35.5,0.0,top
C27,22pf,C_0805_2012Metric,516.95,-61.1,0.0,top
C28,22pf,C_0805_2012Metric,521.75,-61.1,0.0,top
C29,22pf,C_0805_2012Metric,290.55,-35.4,0.0,top
C3,0.1uf,C_0805_2012Metric,549.4627,-130.9249,180.0,top
C30,22pf,C_0805_2012Metric,306.0,-61.0,0.0,top
C31,22pf,C_0805_2012Metric,310.8,-61.0,0.0,top
C32,22pf,C_0805_2012Metric,425.25,-35.4,0.0,top
C33,22pf,C_0805_2012Metric,440.7,-61.0,0.0,top
C34,22pf,C_0805_2012Metric,445.5,-61.0,0.0,top
C35,22pf,C_0805_2012Metric,208.65,-35.1449,0.0,top
C36,22pf,C_0805_2012Metric,224.1,-60.7449,0.0,top
C37,22pf,C_0805_2012Metric,228.9,-60.7449,0.0,top
C4,0.1uf,C_0805_2012Metric,549.4627,-124.1749,180.0,top
C5,0.1uf,C_0805_2012Metric,549.4627,-117.4249,180.0,top
C6,10uf,C_0805_2012Metric,409.565,-113.96,0.0,top
C7,0.1uf,C_0805_2012Metric,549.43,-110.72,180.0,top
C8,10uf,C_0805_2012Metric,234.25,-104.0,0.0,top
C9,10uf,C_0805_2012Metric,234.25,-93.2,0.0,top
D1,LED_OK,LED_0603_1608Metric,498.77,-96.92,-90.0,top
D10,LED_PWR,LED_0603_1608Metric,403.51,-116.96,90.0,top
D11,LED_PWR,LED_0603_1608Metric,365.4,-119.28,90.0,top
D12,LED_OK,LED_0603_1608Metric,365.4,-123.6467,90.0,top
D13,LED_FAIL,LED_0603_1608Metric,365.3,-128.0133,90.0,top
D14,LED_WARN,LED_0603_1608Metric,365.3,-132.38,90.0,top
D15,LED_PWR,LED_0603_1608Metric,290.95,-141.2,90.0,top
D16,LED_OK,LED_0603_1608Metric,290.75,-155.7,90.0,top
D17,LED_FAIL,LED_0603_1608Metric,290.75,-150.4,90.0,top
D18,LED_WARN,LED_0603_1608Metric,290.95,-145.7,90.0,top
D19,LED_PWR,LED_0603_1608Metric,203.7875,-177.5,180.0,top
D2,LED_FAIL,LED_0603_1608Metric,498.67,-101.12,-90.0,top
D20,LED_PWR,LED_0603_1608Metric,532.486,-141.52,90.0,top
D21,LED_PWR,LED_0603_1608Metric,427.2,-142.1,90.0,top
D22,LED_OK,LED_0603_1608Metric,427.1,-155.0,90.0,top
D23,LED_FAIL,LED_0603_1608Metric,427.2,-150.7,90.0,top
D24,LED_WARN,LED_0603_1608Metric,427.1,-146.4,90.0,top
D25,LED_PWR,LED_0603_1608Metric,239.305,-104.0,0.0,top
D26,LED_PWR,LED_0603_1608Metric,239.305,-93.2,0.0,top
D27,SPI_SEL,LED_0603_1608Metric,246.2,-107.0,180.0,top
D28,LED_PWR,LED_0603_1608Metric,201.1438,-94.6125,90.0,top
D29,LED_OK,LED_0603_1608Metric,201.1438,-107.3625,90.0,top
D3,LED_WARN,LED_0603_1608Metric,498.67,-105.3651,-90.0,top
D30,LED_FAIL,LED_0603_1608Metric,201.1438,-103.1125,90.0,top
D31,LED_WARN,LED_0603_1608Metric,201.1438,-98.6125,90.0,top
D32,LED_PWR,LED_0603_1608Metric,323.2875,-172.0,180.0,top
D37,LED_PWR,LED_0603_1608Metric,456.92,-172.0,180.0,top
D38,LED_PWR,LED_0603_1608Metric,396.35,-174.15,180.0,top
D4,LED_PWR,LED_0603_1608Metric,498.67,-109.62,-90.0,top
D5,LED_PWR,LED_0603_1608Metric,532.486,-108.475,90.0,top
D51,LED_PWR,LED_0603_1608Metric,525.38,-95.54,180.0,top
D52,LED_PWR,LED_0603_1608Metric,525.3225,-103.61,180.0,top
D53,LED_PWR,LED_0603_1608Metric,381.1,-170.65,180.0,top
D54,RXD,LED_0603_1608Metric,381.1,-163.95,180.0,top
D55,TXD,LED_0603_1608Metric,381.1,-167.4,180.0,top
