Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C29,22pf,C_0805_2012Metric,97.9,-88.33,0.0,bottom
C30,22pf,C_0805_2012Metric,91.19,-76.7,270.0,bottom
C31,22pf,C_0805_2012Metric,86.29,-76.7,270.0,bottom
C5,0.1uf,C_0805_2012Metric,89.75,-106.65,0.0,bottom
D15,PWR,LED_0603_1608Metric,107.3125,-147.1,0.0,bottom
D16,OK,LED_0603_1608Metric,107.3125,-144.2,0.0,bottom
D17,FAIL,LED_0603_1608Metric,107.25,-141.25,0.0,bottom
D18,WARN,LED_0603_1608Metric,107.2,-138.3,0.0,bottom
D32,LED_PWR,LED_0603_1608Metric,103.2375,-69.35,180.0,bottom
D60,LED_PWR,LED_0603_1608Metric,93.97,-76.82,180.0,bottom
D61,LED_PWR,LED_0603_1608Metric,93.97,-79.41,180.0,bottom
D62,TXD,LED_0603_1608Metric,93.97,-82.0,180.0,bottom
D63,RXD,LED_0603_1608Metric,93.97,-84.59,180.0,bottom
D7,LED_PWR,LED_0603_1608Metric,94.7375,-103.675,0.0,bottom
J1,ACM_CTRL,PinHeader_1x03_P1.00mm_Vertical,71.15,-67.7,180.0,bottom
J11,INA219_CONFIG,PinHeader_1x02_P1.27mm_Vertical,94.7,-99.7,90.0,bottom
J12,AUDIO_OUT,NS-Tech_Grove_1x04_P2mm_Vertical,97.16,-125.832,270.0,bottom
J13,Conn_02x36_Odd_Even,PinHeader_2x36_P2.54mm_Vertical,66.224058,-107.083948,0.0,top
J15,Conn_02x36_Odd_Even,PinHeader_2x36_P2.54mm_Vertical,127.17201,-107.083948,0.0,top
J2,CAN,PinHeader_1x03_P1.00mm_Vertical,119.85,-54.85,180.0,bottom
J21,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,107.7,-64.125,90.0,bottom
J29,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,87.84,-64.075,90.0,bottom
J3,7SDD_CTRL,PinHeader_1x03_P1.00mm_Vertical,73.35,-141.4,180.0,bottom
J30,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,77.4,-57.025,90.0,bottom
J4,LCD_display,PinHeader_1x04_P1.00mm_Vertical,81.05,-122.05,180.0,bottom
J5,INTRPT,PinHeader_1x02_P1.00mm_Vertical,73.3,-135.4,180.0,bottom
J7,TDM_PMS_I2C,PinHeader_1x02_P1.00mm_Vertical,80.7,-93.6,270.0,bottom
R1,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.1425,-145.81,0.0,bottom
R2,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.1425,-140.06,0.0,bottom
R26,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.6,-100.3,0.0,bottom
R28,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.54,-97.0,0.0,bottom
R30,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.6,-103.67,0.0,bottom
R38,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.8925,-147.11,180.0,bottom
R39,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.8925,-144.16,180.0,bottom
R40,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.8925,-141.21,180.0,bottom
R41,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.8925,-138.26,180.0,bottom
R50,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.95,-69.35,180.0,bottom
R53,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.8,-95.832,270.0,bottom
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.54,-93.303,0.0,bottom
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.25,-73.9,0.0,bottom
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.66,-127.282,0.0,bottom
R88,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.74,-72.95,0.0,bottom
R89,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.74,-75.9,0.0,bottom
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,105.66,-127.4825,180.0,bottom
R90,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.4,-63.7,0.0,bottom
R91,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.74,-81.8,0.0,bottom
R92,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.74,-84.75,0.0,bottom
SW1,FAIL_RST,SW_SPST_FSMSM,89.4425,-145.81,0.0,bottom
SW2,FAIL_RST,SW_SPST_FSMSM,89.4425,-140.06,0.0,bottom
TH1,10k,Heraeus_TO-92-2,91.23,-89.832,0.0,bottom
TH2,10k,Heraeus_TO-92-2,97.58,-67.582,0.0,bottom
TH3,10k,Heraeus_TO-92-2,87.73,-131.318,180.0,bottom
TH4,10k,Heraeus_TO-92-2,100.28,-94.832,0.0,bottom
TH5,10k,Heraeus_TO-92-2,105.73,-131.268,180.0,bottom
U1,NUCLEO-H753ZI,ST_Morpho_and_Zio_Connectors_144_STLink,96.7,-97.408,0.0,top
U13,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,83.0,-99.65,0.0,bottom
U38,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,83.755,-82.95,270.0,bottom
Y7,12MHz,Crystal_HC49-4H_Vertical,88.7,-71.7,0.0,bottom
