Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Pins,DigiKey_Part_Number,Price,MF,Description_1,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Availability,MANUFACTURER
"C29, C30, C31",3,22pf,C_0805_2012Metric,,,,smt,"Unpolarized capacitor, small symbol",,,,,,,,,,,,
C5,1,0.1uf,C_0805_2012Metric,,,,smt,"Unpolarized capacitor, small symbol",,,,,,,,,,,,
"D15, D32, D60, D61, D7",5,LED_PWR,LED_0603_1608Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,
D16,1,LED_OK,LED_0603_1608Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,
D17,1,LED_FAIL,LED_0603_1608Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,
D18,1,LED_WARN,LED_0603_1608Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,
D62,1,TXD,LED_0603_1608Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,
D63,1,RXD,LED_0603_1608Metric,,,,smt,Light emitting diode,1=K 2=A,,,,,,,,,,,
J1,1,ACM_CTRL,PinHeader_1x03_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J11,1,INA219_CONFIG,PinHeader_1x02_P1.27mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J12,1,AUDIO_OUT,NS-Tech_Grove_1x04_P2mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
"J13, J15",2,Conn_02x36_Odd_Even,PinHeader_2x36_P2.54mm_Vertical,,,,tht,"Generic connector, double row, 02x36, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J2,1,CAN,PinHeader_1x03_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
"J21, J29",2,USB_A,USB_A_CNCTech_1001-011-01101_Horizontal,,,,smt,USB Type A connector,,,,,,,,,,,,
J3,1,7SDD_CTRL,PinHeader_1x03_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J30,1,UART_DEBUG,PinHeader_1x03_P1.00mm_Horizontal,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J4,1,LCD_display,PinHeader_1x04_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J5,1,INTRPT,PinHeader_1x02_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
J7,1,TDM_PMS_I2C,PinHeader_1x02_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,
"R1, R2, R30, R38, R39, R40, R41, R50, R88, R89, R91, R92",12,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,311-10.0KCRCT-ND,0.0129,,,,,,,,,
"R26, R28, R53, R6, R7, R8, R9",7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,311-10.0KCRCT-ND,0.0129,,,,,,,,,
R90,1,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,311-10.0KCRCT-ND,0.0129,,,,,,,,,
"SW1, SW2",2,FAIL_RST,SW_SPST_FSMSM,,,,smt,"Push button switch, generic, two pins",,,,,,,,,,,,
"TH1, TH2, TH3, TH4, TH5",5,10k,Heraeus_TO-92-2,,,,tht,Temperature dependent resistor,,,,,,,,,,,,
TP1,1,DAC_R_TP,TestPoint_THTPad_D2.5mm_Drill1.2mm,,,,tht,test point,,,,,,,,,,,,
