pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
97.9,-88.33,180.0,bottom,C29,,,C_0805_2012Metric,22pf,smt
91.19,-76.7,-90.0,bottom,C30,,,C_0805_2012Metric,22pf,smt
86.29,-76.7,-90.0,bottom,C31,,,C_0805_2012Metric,22pf,smt
89.75,-106.65,180.0,bottom,C5,,,C_0805_2012Metric,0.1uf,smt
107.3125,-147.1,180.0,bottom,D15,,,LED_0603_1608Metric,LED_PWR,smt
107.3125,-144.2,180.0,bottom,D16,,,LED_0603_1608Metric,LED_OK,smt
107.25,-141.25,180.0,bottom,D17,,,LED_0603_1608Metric,LED_FAIL,smt
107.2,-138.3,180.0,bottom,D18,,,LED_0603_1608Metric,LED_WARN,smt
103.2375,-69.35,0.0,bottom,D32,,,LED_0603_1608Metric,LED_PWR,smt
93.97,-76.82,0.0,bottom,D60,,,LED_0603_1608Metric,LED_PWR,smt
93.97,-79.41,0.0,bottom,D61,,,LED_0603_1608Metric,LED_PWR,smt
93.97,-82.0,0.0,bottom,D62,,,LED_0603_1608Metric,TXD,smt
93.97,-84.59,0.0,bottom,D63,,,LED_0603_1608Metric,RXD,smt
94.7375,-103.675,180.0,bottom,D7,,,LED_0603_1608Metric,LED_PWR,smt
71.15,-68.7,0.0,bottom,J1,,,PinHeader_1x03_P1.00mm_Vertical,ACM_CTRL,tht
95.335,-99.7,90.0,bottom,J11,,,PinHeader_1x02_P1.27mm_Vertical,INA219_CONFIG,tht
94.16,-125.832,-90.0,bottom,J12,,,NS-Tech_Grove_1x04_P2mm_Vertical,AUDIO_OUT,tht
64.954058,-62.633948,0.0,top,J13,,,PinHeader_2x36_P2.54mm_Vertical,Conn_02x36_Odd_Even,tht
125.90201,-62.633948,0.0,top,J15,,,PinHeader_2x36_P2.54mm_Vertical,Conn_02x36_Odd_Even,tht
113.15,-81.75,0.0,bottom,J2,,,PinHeader_1x03_P1.00mm_Vertical,CAN,tht
107.7,-56.1,90.0,bottom,J21,,,USB_A_CNCTech_1001-011-01101_Horizontal,USB_A,smt
87.84,-56.05,90.0,bottom,J29,,,USB_A_CNCTech_1001-011-01101_Horizontal,USB_A,smt
73.35,-142.4,0.0,bottom,J3,,,PinHeader_1x03_P1.00mm_Vertical,7SDD_CTRL,tht
78.25,-64.4,90.0,bottom,J30,,,PinHeader_1x03_P1.00mm_Horizontal,UART_DEBUG,tht
81.05,-123.55,0.0,bottom,J4,,,PinHeader_1x04_P1.00mm_Vertical,LCD_display,tht
73.3,-135.9,0.0,bottom,J5,,,PinHeader_1x02_P1.00mm_Vertical,INTRPT,tht
80.2,-93.6,-90.0,bottom,J7,,,PinHeader_1x02_P1.00mm_Vertical,TDM_PMS_I2C,tht
98.1425,-145.81,180.0,bottom,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
98.1425,-140.06,180.0,bottom,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
89.6,-100.3,180.0,bottom,R26,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
89.54,-97.0,180.0,bottom,R28,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
89.6,-103.67,180.0,bottom,R30,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
102.8925,-147.11,0.0,bottom,R38,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
102.8925,-144.16,0.0,bottom,R39,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
102.8925,-141.21,0.0,bottom,R40,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
102.8925,-138.26,0.0,bottom,R41,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
108.95,-69.35,0.0,bottom,R50,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
95.8,-95.832,-90.0,bottom,R53,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
89.54,-93.303,180.0,bottom,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
103.25,-73.9,180.0,bottom,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
87.66,-127.282,180.0,bottom,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
97.74,-72.95,180.0,bottom,R88,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
97.74,-75.9,180.0,bottom,R89,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
105.66,-127.4825,0.0,bottom,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
80.65,-67.95,-90.0,bottom,R90,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k5,smt
97.74,-81.8,180.0,bottom,R91,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
97.74,-84.75,180.0,bottom,R92,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300,smt
