Frequency [MHz],|S0-0| [-],|S1-0| [-],|S2-0| [-],|S3-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Arg(S2-0) [rad],Arg(S3-0) [rad],Delay 0>0 [s],Delay 0>1 [s],Delay 0>2 [s],Delay 0>3 [s],|Z0| [Ohm],Arg(Z0) [rad]
1.000000e+02, 1.002590e-01, 8.818187e-07, 5.579646e-02, 6.017017e-07, -4.291493e-01, -2.894408e+00, -9.560584e-01, -2.383948e+00, 6.064433e-10, -1.195044e-10, 7.016717e-11, -2.175870e-10, 6.001194e+01, -8.408347e-02
1.029000e+02, 1.007327e-01, 8.820931e-07, 5.581088e-02, 6.033540e-07, -4.401994e-01, -2.892231e+00, -9.573369e-01, -2.379983e+00, 6.007586e-10, -1.194466e-10, 7.018729e-11, -2.170364e-10, 6.000622e+01, -8.651196e-02
1.058000e+02, 1.012174e-01, 8.823665e-07, 5.582548e-02, 6.050156e-07, -4.511460e-01, -2.890054e+00, -9.586158e-01, -2.376028e+00, 5.951295e-10, -1.193297e-10, 7.037598e-11, -2.163558e-10, 6.000034e+01, -8.893934e-02
1.087000e+02, 1.017131e-01, 8.826388e-07, 5.584050e-02, 6.066865e-07, -4.619900e-01, -2.887880e+00, -9.598981e-01, -2.372086e+00, 5.894144e-10, -1.193786e-10, 7.053109e-11, -2.157373e-10, 5.999429e+01, -9.136598e-02
1.116000e+02, 1.022194e-01, 8.829116e-07, 5.585571e-02, 6.083661e-07, -4.727299e-01, -2.885705e+00, -9.611833e-01, -2.368155e+00, 5.835959e-10, -1.192793e-10, 7.060484e-11, -2.150550e-10, 5.998808e+01, -9.379170e-02
1.145000e+02, 1.027364e-01, 8.831822e-07, 5.587118e-02, 6.100549e-07, -4.833637e-01, -2.883531e+00, -9.624698e-01, -2.364236e+00, 5.778960e-10, -1.192096e-10, 7.067767e-11, -2.144355e-10, 5.998172e+01, -9.621627e-02
1.174000e+02, 1.032638e-01, 8.834530e-07, 5.588691e-02, 6.117537e-07, -4.938937e-01, -2.881359e+00, -9.637576e-01, -2.360329e+00, 5.720776e-10, -1.192326e-10, 7.080547e-11, -2.137506e-10, 5.997518e+01, -9.864010e-02
1.203000e+02, 1.038014e-01, 8.837220e-07, 5.590297e-02, 6.134604e-07, -5.043176e-01, -2.879186e+00, -9.650478e-01, -2.356434e+00, 5.662227e-10, -1.191046e-10, 7.095697e-11, -2.131289e-10, 5.996850e+01, -1.010630e-01
1.232000e+02, 1.043491e-01, 8.839909e-07, 5.591924e-02, 6.151771e-07, -5.146349e-01, -2.877016e+00, -9.663407e-01, -2.352551e+00, 5.604492e-10, -1.191134e-10, 7.108255e-11, -2.123804e-10, 5.996165e+01, -1.034847e-01
1.261000e+02, 1.049067e-01, 8.842591e-07, 5.593585e-02, 6.169023e-07, -5.248470e-01, -2.874846e+00, -9.676359e-01, -2.348681e+00, 5.545786e-10, -1.190632e-10, 7.115130e-11, -2.118199e-10, 5.995464e+01, -1.059056e-01
1.290000e+02, 1.054739e-01, 8.845264e-07, 5.595271e-02, 6.186368e-07, -5.349521e-01, -2.872676e+00, -9.689324e-01, -2.344821e+00, 5.487079e-10, -1.189542e-10, 7.130002e-11, -2.110711e-10, 5.994747e+01, -1.083253e-01
1.319000e+02, 1.060507e-01, 8.847925e-07, 5.596978e-02, 6.203799e-07, -5.449502e-01, -2.870509e+00, -9.702316e-01, -2.340975e+00, 5.428851e-10, -1.189491e-10, 7.136700e-11, -2.105089e-10, 5.994014e+01, -1.107439e-01
1.348000e+02, 1.066369e-01, 8.850589e-07, 5.598711e-02, 6.221321e-07, -5.548423e-01, -2.868341e+00, -9.715320e-01, -2.337140e+00, 5.370691e-10, -1.189184e-10, 7.156921e-11, -2.096993e-10, 5.993265e+01, -1.131614e-01
1.377000e+02, 1.072323e-01, 8.853234e-07, 5.600473e-02, 6.238922e-07, -5.646284e-01, -2.866175e+00, -9.728360e-01, -2.333319e+00, 5.311505e-10, -1.187956e-10, 7.163417e-11, -2.090728e-10, 5.992499e+01, -1.155779e-01
1.406000e+02, 1.078367e-01, 8.855877e-07, 5.602260e-02, 6.256622e-07, -5.743066e-01, -2.864010e+00, -9.741413e-01, -2.329509e+00, 5.253889e-10, -1.187672e-10, 7.169819e-11, -2.083248e-10, 5.991719e+01, -1.179931e-01
1.435000e+02, 1.084500e-01, 8.858501e-07, 5.604074e-02, 6.274407e-07, -5.838798e-01, -2.861846e+00, -9.754477e-01, -2.325713e+00, 5.195896e-10, -1.187058e-10, 7.184239e-11, -2.076373e-10, 5.990922e+01, -1.204072e-01
1.464000e+02, 1.090721e-01, 8.861125e-07, 5.605908e-02, 6.292284e-07, -5.933474e-01, -2.859683e+00, -9.767568e-01, -2.321930e+00, 5.137566e-10, -1.186622e-10, 7.198579e-11, -2.069542e-10, 5.990110e+01, -1.228202e-01
1.493000e+02, 1.097027e-01, 8.863739e-07, 5.607763e-02, 6.310238e-07, -6.027087e-01, -2.857521e+00, -9.780685e-01, -2.318159e+00, 5.080325e-10, -1.186022e-10, 7.204715e-11, -2.062671e-10, 5.989281e+01, -1.252318e-01
1.522000e+02, 1.103417e-01, 8.866354e-07, 5.609644e-02, 6.328284e-07, -6.119656e-01, -2.855360e+00, -9.793813e-01, -2.314400e+00, 5.022553e-10, -1.185780e-10, 7.210757e-11, -2.055216e-10, 5.988437e+01, -1.276424e-01
1.551000e+02, 1.109888e-01, 8.868950e-07, 5.611551e-02, 6.346414e-07, -6.211173e-01, -2.853199e+00, -9.806951e-01, -2.310655e+00, 4.965508e-10, -1.184604e-10, 7.224834e-11, -2.047771e-10, 5.987577e+01, -1.300515e-01
1.580000e+02, 1.116440e-01, 8.871543e-07, 5.613479e-02, 6.364628e-07, -6.301651e-01, -2.851041e+00, -9.820116e-01, -2.306924e+00, 4.909198e-10, -1.184207e-10, 7.244245e-11, -2.040978e-10, 5.986702e+01, -1.324594e-01
1.609000e+02, 1.123072e-01, 8.874127e-07, 5.615436e-02, 6.382919e-07, -6.391103e-01, -2.848883e+00, -9.833316e-01, -2.303205e+00, 4.852077e-10, -1.183227e-10, 7.252728e-11, -2.033488e-10, 5.985810e+01, -1.348662e-01
