 2.00000000e+01 -3.12103246e-03  2.00000000e+01 -2.76509975e-03 
 2.15955032e+01 -3.40933092e-03  2.15955032e+01 -2.76491614e-03 
 2.33182880e+01 -3.74543808e-03  2.33182880e+01 -2.76470210e-03 
 2.51785082e+01 -4.13727741e-03  2.51785082e+01 -2.76445259e-03 
 2.71871278e+01 -4.59408390e-03  2.71871278e+01 -2.76416174e-03 
 2.93559854e+01 -5.12662051e-03  2.93559854e+01 -2.76382271e-03 
 3.16978638e+01 -5.74743017e-03  3.16978638e+01 -2.76342753e-03 
 3.42265661e+01 -6.47112906e-03  3.42265661e+01 -2.76296693e-03 
 3.69569959e+01 -7.31474778e-03  3.69569959e+01 -2.76243010e-03 
 3.99052463e+01 -8.29812813e-03  3.99052463e+01 -2.76180448e-03 
 4.30886938e+01 -9.44438436e-03  4.30886938e+01 -2.76107540e-03 
 4.65261013e+01 -1.07804391e-02  4.65261013e+01 -2.76022585e-03 
 5.02377286e+01 -1.23376458e-02  5.02377286e+01 -2.75923601e-03 
 5.42454516e+01 -1.41525108e-02  5.42454516e+01 -2.75808283e-03 
 5.85728913e+01 -1.62675309e-02  5.85728913e+01 -2.75673954e-03 
 6.32455532e+01 -1.87321634e-02  6.32455532e+01 -2.75517503e-03 
 6.82909775e+01 -2.16039491e-02  6.82909775e+01 -2.75335319e-03 
 7.37389013e+01 -2.49498094e-02  7.37389013e+01 -2.75123211e-03 
 7.96214341e+01 -2.88475442e-02  7.96214341e+01 -2.74876325e-03 
 8.59732469e+01 -3.33875568e-02  8.59732469e+01 -2.74589035e-03 
 9.28317767e+01 -3.86748374e-02  9.28317767e+01 -2.74254837e-03 
 1.00237447e+02 -4.48312374e-02  1.00237447e+02 -2.73866216e-03 
 1.08233905e+02 -5.19980710e-02  1.08233905e+02 -2.73414506e-03 
 1.16868283e+02 -6.03390798e-02  1.16868283e+02 -2.72889728e-03 
 1.26191469e+02 -7.00437981e-02  1.26191469e+02 -2.72280420e-03 
 1.36258414e+02 -8.13313551e-02  1.36258414e+02 -2.71573446e-03 
 1.47128451e+02 -9.44547450e-02  1.47128451e+02 -2.70753796e-03 
 1.58865647e+02 -1.09705591e-01  1.58865647e+02 -2.69804380e-03 
 1.71539180e+02 -1.27419413e-01  1.71539180e+02 -2.68705814e-03 
 1.85223746e+02 -1.47981399e-01  1.85223746e+02 -2.67436223e-03 
 2.00000000e+02 -1.71832637e-01  2.00000000e+02 -2.65971054e-03 
 2.15955032e+02 -1.99476748e-01  2.15955032e+02 -2.64282934e-03 
 2.33182880e+02 -2.31486797e-01  2.33182880e+02 -2.62341588e-03 
 2.51785082e+02 -2.68512294e-01  2.51785082e+02 -2.60113852e-03 
 2.71871278e+02 -3.11286028e-01  2.71871278e+02 -2.57563805e-03 
 2.93559854e+02 -3.60630369e-01  2.93559854e+02 -2.54653085e-03 
 3.16978638e+02 -4.17462563e-01  3.16978638e+02 -2.51341422e-03 
 3.42265661e+02 -4.82798435e-01  3.42265661e+02 -2.47587437e-03 
 3.69569959e+02 -5.57753762e-01  3.69569959e+02 -2.43349777e-03 
 3.99052463e+02 -6.43542503e-01  3.99052463e+02 -2.38588605e-03 
 4.30886938e+02 -7.41470971e-01  4.30886938e+02 -2.33267476e-03 
 4.65261013e+02 -8.52927030e-01  4.65261013e+02 -2.27355586e-03 
 5.02377286e+02 -9.79363484e-01  5.02377286e+02 -2.20830330e-03 
 5.42454516e+02 -1.12227503e+00  5.42454516e+02 -2.13680057e-03 
 5.85728913e+02 -1.28316853e+00  5.85728913e+02 -2.05906831e-03 
 6.32455532e+02 -1.46352685e+00  6.32455532e+02 -1.97528941e-03 
 6.82909775e+02 -1.66476730e+00  6.82909775e+02 -1.88582860e-03 
 7.37389013e+02 -1.88819624e+00  7.37389013e+02 -1.79124336e-03 
 7.96214341e+02 -2.13496252e+00  7.96214341e+02 -1.69228310e-03 
 8.59732469e+02 -2.40601263e+00  8.59732469e+02 -1.58987466e-03 
 9.28317767e+02 -2.70205116e+00  9.28317767e+02 -1.48509349e-03 
 1.00237447e+03 -3.02350972e+00  1.00237447e+03 -1.37912186e-03 
 1.08233905e+03 -3.37052728e+00  1.08233905e+03 -1.27319695e-03 
 1.16868283e+03 -3.74294376e+00  1.16868283e+03 -1.16855379e-03 
 1.26191469e+03 -4.14030741e+00  1.26191469e+03 -1.06636832e-03 
 1.36258414e+03 -4.56189536e+00  1.36258414e+03 -9.67706164e-04 
 1.47128451e+03 -5.00674539e+00  1.47128451e+03 -8.73481665e-04 
 1.58865647e+03 -5.47369598e+00  1.58865647e+03 -7.84430158e-04 
 1.71539180e+03 -5.96143136e+00  1.71539180e+03 -7.01094527e-04 
 1.85223746e+03 -6.46852813e+00  1.85223746e+03 -6.23825375e-04 
 2.00000000e+03 -6.99350040e+00  2.00000000e+03 -5.52792647e-04 
 2.15955032e+03 -7.53484106e+00  2.15955032e+03 -4.88005766e-04 
